userName,phone,ISDCode,email,password,status,userRole
rogerrowe,0469441418,91,simpsonscott@hotmail.com,Test@123,ACTIVE,USER
fmorrow,5662501866,91,emily49@pruitt-frazier.org,Test@123,ACTIVE,ADMIN
davidhughes,2668929141,91,charlescombs@dunn.info,Test@123,ACTIVE,USER
dkelley,6752351511,91,carlsonleah@brown-jimenez.com,Test@123,ACTIVE,USER
xlawson,5729127724,91,eugene24@gmail.com,Test@123,INACTIVE,ADMIN
matthew49,8642535872,91,awalker@gmail.com,Test@123,ACTIVE,ADMIN
mroberts,0920049252,91,markramirez@gmail.com,Test@123,ACTIVE,ADMIN
onguyen,0024385673,91,jennifer53@curtis-rice.net,Test@123,INACTIVE,USER
vlin,1283645717,91,gsellers@yu.info,Test@123,INACTIVE,ADMIN
ryan06,6178288023,91,randyfigueroa@diaz.net,Test@123,INACTIVE,USER
kgarza,1868115292,91,amy91@hotmail.com,Test@123,INACTIVE,ADMIN
nmoore,9241178382,91,petermorgan@hooper-andrews.com,Test@123,INACTIVE,ADMIN
erinray,7662044875,91,morganmary@velez-reid.com,Test@123,ACTIVE,ADMIN
rodriguezdaniel,7358318437,91,jonesjohn@bradshaw.biz,Test@123,INACTIVE,ADMIN
gallaghertimothy,8828639616,91,taylormichael@ward-morrow.com,Test@123,ACTIVE,USER
adamsrobert,2670732430,91,patricia98@allen.com,Test@123,ACTIVE,USER
yroy,3589200997,91,lisalucero@santos.net,Test@123,ACTIVE,USER
jfuller,3414245269,91,xgibson@smith-long.com,Test@123,INACTIVE,ADMIN
usmith,2799594915,91,lhutchinson@rowland-schaefer.info,Test@123,INACTIVE,USER
smithjoseph,5915726411,91,danielle72@hotmail.com,Test@123,INACTIVE,USER
